Geneid	ENSEMBL	log2FoldChange	padj	DEG
AA467197	ENSMUSG00000033213.16	1.55	4.68142830128237e-05	Upregulated
Gsdmcl2	ENSMUSG00000093867.7	2.44	4.68142830128237e-05	Upregulated
Igkc	ENSMUSG00000076609.2	1.1	5.80253502344119e-05	Upregulated
Ahrr	ENSMUSG00000021575.16	2.74	5.80253502344119e-05	Upregulated
H2-Aa	ENSMUSG00000036594.15	0.89	6.75246983761221e-05	NS
Pcp4l1	ENSMUSG00000038370.6	4.32	6.78373544697523e-05	Upregulated
Glipr2	ENSMUSG00000028480.14	1.15	6.78373544697523e-05	Upregulated
Slc34a2	ENSMUSG00000029188.14	-1.02	6.78373544697523e-05	Downregulated
Rab32	ENSMUSG00000019832.5	1.52	6.78798146582555e-05	Upregulated
Rab11a	ENSMUSG00000004771.12	0.86	7.43933570696587e-05	NS
Pisd-ps1	ENSMUSG00000082286.10	-1.7	7.43933570696587e-05	Downregulated
Ctsl	ENSMUSG00000021477.9	1.09	7.43933570696587e-05	Upregulated
Itpr1	ENSMUSG00000030102.11	-1.34	7.47760867728482e-05	Downregulated
Cyp3a25	ENSMUSG00000029630.15	-1.07	7.96611519653228e-05	Downregulated
Gm21738	ENSMUSG00000095280.1	-4.7	9.26636062871994e-05	Downregulated
Bst2	ENSMUSG00000046718.8	1.35	9.60514840027927e-05	Upregulated
Cyp3a11	ENSMUSG00000056035.8	-1.09	0.000103886255924326	Downregulated
Gm49759	ENSMUSG00000111394.1	-1.78	0.000115792026925792	Downregulated
Epop	ENSMUSG00000043439.5	8.22	0.000115792026925792	Upregulated
Gm11168	ENSMUSG00000096385.7	-4.71	0.000118544047211229	Downregulated
Jchain	ENSMUSG00000067149.6	1.55	0.000130816897235884	Upregulated
Trnau1ap	ENSMUSG00000028898.15	0.98	0.000136098489040298	NS
U90926	ENSMUSG00000029409.7	5.03	0.000136098489040298	Upregulated
Kmt2d	ENSMUSG00000048154.17	-0.81	0.000136098489040298	NS
Alox5ap	ENSMUSG00000060063.9	1.45	0.000146643881603558	Upregulated
Sdf2l1	ENSMUSG00000022769.9	0.84	0.000147732333318642	NS
Abhd8	ENSMUSG00000007950.9	1.79	0.000151560326266347	Upregulated
Rab6b	ENSMUSG00000032549.7	2.62	0.000165768903695231	Upregulated
Mep1a	ENSMUSG00000023914.16	-0.88	0.000165768903695231	NS
Abcc2	ENSMUSG00000025194.5	-1.01	0.000165768903695231	Downregulated
Slc16a9	ENSMUSG00000037762.6	-3.21	0.000171130099466423	Downregulated
Mrps24	ENSMUSG00000020477.10	0.84	0.000177648343859968	NS
AC160336.1	ENSMUSG00000115801.1	-3.4	0.000177648343859968	Downregulated
Glce	ENSMUSG00000032252.14	1.04	0.000236076029328846	Upregulated
Steap1	ENSMUSG00000015652.9	1.44	0.000239057038028303	Upregulated
Dio1	ENSMUSG00000034785.14	-1.12	0.000262073548745384	Downregulated
Clca1	ENSMUSG00000028255.6	0.73	0.000284418018272231	NS
Mmp7	ENSMUSG00000018623.9	0.94	0.000287650327829325	NS
Zan	ENSMUSG00000079173.11	-1.28	0.000289228942925206	Downregulated
Aqp8	ENSMUSG00000030762.11	-1.24	0.000296771891718734	Downregulated
Gtpbp2	ENSMUSG00000023952.13	-1.33	0.000296771891718734	Downregulated
Avpi1	ENSMUSG00000018821.3	1.41	0.000313498787970548	Upregulated
Zbtb20	ENSMUSG00000022708.16	-1.38	0.000445603397008386	Downregulated
Tifa	ENSMUSG00000046688.14	0.99	0.000514415805825796	NS
Ndrg2	ENSMUSG00000004558.15	1.1	0.000528528146236294	Upregulated
Cacna1e	ENSMUSG00000004110.16	-4.06	0.000578800245172335	Downregulated
Slc30a3	ENSMUSG00000029151.14	3.93	0.000595239558148359	Upregulated
Chd3	ENSMUSG00000018474.17	-0.87	0.000632842368620194	NS
Rrn3	ENSMUSG00000022682.8	0.93	0.000632842368620194	NS
Psmb8	ENSMUSG00000024338.15	0.75	0.000656317297092151	NS
Nme4	ENSMUSG00000024177.9	1.29	0.000674433027718048	Upregulated
Strip2	ENSMUSG00000039629.14	1.23	0.000704240481720384	Upregulated
Igkv6-23	ENSMUSG00000095630.2	3.11	0.000763878134643945	Upregulated
Gm42047	ENSMUSG00000110631.1	-2.06	0.000763878134643945	Downregulated
Bmp4	ENSMUSG00000021835.15	6.52	0.000859991901231255	Upregulated
Txnl4a	ENSMUSG00000057130.12	0.78	0.00088899337933651	NS
Naa20	ENSMUSG00000002728.14	0.79	0.000911954112250899	NS
Sgk1	ENSMUSG00000019970.15	-0.95	0.00093653572669419	NS
Ldb3	ENSMUSG00000021798.14	-1.12	0.000975099130437411	Downregulated
Ifit1bl1	ENSMUSG00000079339.7	1.09	0.0009810228485578	Upregulated
Gm10499	ENSMUSG00000073403.11	-1.07	0.00101110557076021	Downregulated
Tmem70	ENSMUSG00000025940.6	0.75	0.00102364421091597	NS
Dmpk	ENSMUSG00000030409.15	-1.36	0.00107109633385401	Downregulated
Cbr3	ENSMUSG00000022947.8	1.53	0.00113099466910356	Upregulated
Ryr2	ENSMUSG00000021313.16	-3.39	0.00114018193706117	Downregulated
Ethe1	ENSMUSG00000064254.6	0.79	0.00115556502011352	NS
Tinagl1	ENSMUSG00000028776.14	1.02	0.00120224822225572	Upregulated
Tomm20	ENSMUSG00000093904.2	0.75	0.00131453039780372	NS
Sgcb	ENSMUSG00000029156.11	1.46	0.00133254685495356	Upregulated
Rnase1	ENSMUSG00000035896.5	0.82	0.00138291862153694	NS
Slc25a37	ENSMUSG00000034248.7	-0.92	0.00138291862153694	NS
Syngr1	ENSMUSG00000022415.12	1.64	0.00138291862153694	Upregulated
Reep5	ENSMUSG00000005873.6	0.82	0.00141084387140025	NS
Mrps6	ENSMUSG00000039680.10	1.06	0.00149906757648766	Upregulated
Bhlhe40	ENSMUSG00000030103.11	-0.78	0.00152305062732905	NS
Guk1	ENSMUSG00000020444.19	0.67	0.00152305062732905	NS
Ogdhl	ENSMUSG00000021913.8	-1.73	0.0015548171785922	Downregulated
Slc13a1	ENSMUSG00000029700.11	-0.83	0.00157307150762498	NS
Egln3	ENSMUSG00000035105.5	0.93	0.00157307150762498	NS
Tfrc	ENSMUSG00000022797.16	0.72	0.00157307150762498	NS
Anapc11	ENSMUSG00000025135.12	0.84	0.00175877998182903	NS
Reg3b	ENSMUSG00000071356.7	0.82	0.00178831329844662	NS
Dnhd1	ENSMUSG00000030882.19	-6.91	0.00184460965658294	Downregulated
Gm9866	ENSMUSG00000094002.3	-6.76	0.00194802084819021	Downregulated
Sptbn2	ENSMUSG00000067889.5	-3.22	0.00196331394553624	Downregulated
Ostf1	ENSMUSG00000024725.13	0.66	0.00196331394553624	NS
Pcsk9	ENSMUSG00000044254.6	0.97	0.00198338258093123	NS
Lrp2	ENSMUSG00000027070.14	-4.21	0.00215571616331892	Downregulated
Csmd1	ENSMUSG00000060924.15	-6.62	0.00219565603374621	Downregulated
Slfn4	ENSMUSG00000000204.16	-2.8	0.00227741639079959	Downregulated
Hydin	ENSMUSG00000059854.8	-6.77	0.00237588403712348	Downregulated
Wdr89	ENSMUSG00000045690.8	1.16	0.00257905280576683	Upregulated
Acsl6	ENSMUSG00000020333.17	-2.13	0.0028328667625283	Downregulated
Syne1	ENSMUSG00000096054.3	-1.8	0.00284769775631602	Downregulated
Cacnb3	ENSMUSG00000003352.14	1.1	0.00284769775631602	Upregulated
Fbn2	ENSMUSG00000024598.9	-6.52	0.00284769775631602	Downregulated
Vmn2r76	ENSMUSG00000091239.2	-3.57	0.00284991575647599	Downregulated
Fos	ENSMUSG00000021250.13	-0.88	0.00284991575647599	NS
Dnah5	ENSMUSG00000022262.8	-6.78	0.00289457745125142	Downregulated
4930442L01Rik	ENSMUSG00000087223.2	-1.99	0.00292982064717893	Downregulated
Kif1a	ENSMUSG00000014602.15	-6.46	0.0029910053243185	Downregulated
Tm2d1	ENSMUSG00000028563.16	0.83	0.00303001988770055	NS
Neb	ENSMUSG00000026950.17	-2.85	0.00307685295884595	Downregulated
Ddah1	ENSMUSG00000028194.15	1.02	0.00307685295884595	Upregulated
Plxna4	ENSMUSG00000029765.12	-3.25	0.00307685295884595	Downregulated
Fam136a	ENSMUSG00000057497.8	0.65	0.00307685295884595	NS
Pcsk4	ENSMUSG00000020131.14	-1.51	0.00307685295884595	Downregulated
2010109I03Rik	ENSMUSG00000063522.5	0.8	0.00307685295884595	NS
Jph4	ENSMUSG00000022208.12	-6.44	0.00324473328021392	Downregulated
Abca13	ENSMUSG00000004668.14	-6.55	0.00324596774432607	Downregulated
Abcb1a	ENSMUSG00000040584.8	-0.83	0.00325150479295826	NS
Hmcn1	ENSMUSG00000066842.18	-6.51	0.00335987752181479	Downregulated
Ank2	ENSMUSG00000032826.17	-2.42	0.00335987752181479	Downregulated
Rgs13	ENSMUSG00000051079.8	1.26	0.00337579279299989	Upregulated
Ifitm3	ENSMUSG00000025492.6	0.79	0.00345409091632414	NS
Myo18b	ENSMUSG00000072720.9	-6.34	0.0034631745756148	Downregulated
Gm37113	ENSMUSG00000103579.1	-2.21	0.00347038463257209	Downregulated
Slc7a14	ENSMUSG00000069072.9	-6.46	0.00349549908672398	Downregulated
Trpm3	ENSMUSG00000052387.16	-3.63	0.00354624268640847	Downregulated
H2afv	ENSMUSG00000041126.16	0.65	0.00365704070562535	NS
Gskip	ENSMUSG00000044715.7	0.77	0.00369200476041605	NS
Gm1673	ENSMUSG00000070858.12	2.94	0.00375931972588021	Upregulated
Col6a4	ENSMUSG00000032572.9	-6.51	0.00375931972588021	Downregulated
Cracr2a	ENSMUSG00000061414.8	-0.95	0.00381577367781338	NS
Ptprb	ENSMUSG00000020154.10	-6.37	0.0039659241308234	Downregulated
Ccng1	ENSMUSG00000020326.7	0.72	0.0039659241308234	NS
Gpx2	ENSMUSG00000042808.8	0.81	0.0039659241308234	NS
Gm44292	ENSMUSG00000108291.1	-1.57	0.00405051780343764	Downregulated
Chchd4	ENSMUSG00000034203.8	0.72	0.00405051780343764	NS
Vps35	ENSMUSG00000031696.9	0.64	0.00405051780343764	NS
Ankrd11	ENSMUSG00000035569.17	-0.89	0.00405051780343764	NS
Zfyve26	ENSMUSG00000066440.5	-0.97	0.00405051780343764	NS
Gm10800	ENSMUSG00000075014.1	-0.26	0.0040705793728048	NS
Dnph1	ENSMUSG00000040658.7	0.91	0.00411648211224874	NS
Mrpl3	ENSMUSG00000032563.16	0.72	0.00413445844443452	NS
Gdap10	ENSMUSG00000096954.1	-1.86	0.00414559649269371	Downregulated
Gm4117	ENSMUSG00000089940.1	-3.55	0.00416527267584505	Downregulated
Myh8	ENSMUSG00000055775.16	-6.29	0.00421815867275053	Downregulated
Gsta4	ENSMUSG00000032348.6	-0.82	0.00430551466331688	NS
Slc17a4	ENSMUSG00000021336.17	-0.74	0.00430551466331688	NS
Med12l	ENSMUSG00000056476.13	-6.12	0.00432776144464019	Downregulated
Fbxo6	ENSMUSG00000055401.14	0.97	0.00432776144464019	NS
St3gal6	ENSMUSG00000022747.17	0.79	0.00449479772283736	NS
Pygl	ENSMUSG00000021069.17	1.02	0.00450006071230054	Upregulated
2010016I18Rik	ENSMUSG00000091575.2	-1.09	0.00450610972250459	Downregulated
Gm9765	ENSMUSG00000038218.3	-1.41	0.00450872459783998	Downregulated
Cyp2c66	ENSMUSG00000067229.3	-1.12	0.00451560732948858	Downregulated
St6galnac6	ENSMUSG00000026811.18	1.38	0.00474326384943609	Upregulated
Zmiz1	ENSMUSG00000007817.15	-0.82	0.00474326384943609	NS
Fam57a	ENSMUSG00000069808.13	1.05	0.00474393005781241	Upregulated
Drg1	ENSMUSG00000020457.13	0.61	0.00476918486928955	NS
9530068E07Rik	ENSMUSG00000036275.13	0.68	0.00491259290888272	NS
Dst	ENSMUSG00000026131.18	-0.87	0.00504715154398603	NS
Hes6	ENSMUSG00000067071.8	0.65	0.00510907869458053	NS
Gm10718	ENSMUSG00000095186.1	-3.52	0.00524231972636558	Downregulated
Slc19a2	ENSMUSG00000040918.12	1.06	0.00547448313230156	Upregulated
D430041D05Rik	ENSMUSG00000068373.15	-6.43	0.00547448313230156	Downregulated
BC037034	ENSMUSG00000036948.17	-1.79	0.00547448313230156	Downregulated
Gm11273	ENSMUSG00000079941.1	1.28	0.00547448313230156	Upregulated
Psmb9	ENSMUSG00000096727.3	0.66	0.00547448313230156	NS
Srp9	ENSMUSG00000026511.7	0.66	0.00549753426777931	NS
Trpc7	ENSMUSG00000021541.14	-5.9	0.00549753426777931	Downregulated
Coprs	ENSMUSG00000031458.8	0.98	0.00552776611450249	NS
Kcnq2	ENSMUSG00000016346.17	-6.13	0.00555045255016707	Downregulated
Ghitm	ENSMUSG00000041028.16	0.59	0.00555045255016707	NS
Retnlb	ENSMUSG00000022650.7	4.09	0.00555045255016707	Upregulated
Rnf7	ENSMUSG00000051234.6	0.71	0.00564237929357481	NS
Mcrip1	ENSMUSG00000061111.8	1.22	0.00564371499085653	Upregulated
Cacna1h	ENSMUSG00000024112.16	-1.84	0.00564371499085653	Downregulated
Cgn	ENSMUSG00000068876.14	-0.68	0.00565094216391857	NS
Ffar3	ENSMUSG00000019429.7	1.36	0.00565094216391857	Upregulated
Snx7	ENSMUSG00000028007.13	0.67	0.00567296683278776	NS
Ddost	ENSMUSG00000028757.4	0.6	0.00567296683278776	NS
Pex7	ENSMUSG00000020003.16	0.73	0.00567296683278776	NS
Adcy10	ENSMUSG00000026567.16	-6.11	0.00571232406465733	Downregulated
Abi3bp	ENSMUSG00000035258.15	-3.43	0.00571232406465733	Downregulated
Fsip2	ENSMUSG00000075249.12	-5.98	0.00575642519408768	Downregulated
H2-Eb1	ENSMUSG00000060586.11	0.66	0.00578265253761196	NS
Naip6	ENSMUSG00000078942.10	-0.66	0.00579196030221133	NS
Iqsec3	ENSMUSG00000040797.16	-5.99	0.00583750740477925	Downregulated
Spryd7	ENSMUSG00000021930.14	0.74	0.00583750740477925	NS
Pof1b	ENSMUSG00000034607.6	0.83	0.00583750740477925	NS
Mff	ENSMUSG00000026150.14	0.62	0.00586529868719265	NS
Gstm3	ENSMUSG00000004038.9	-0.81	0.00586529868719265	NS
Pde1c	ENSMUSG00000004347.16	-3.01	0.00586529868719265	Downregulated
Pck1	ENSMUSG00000027513.11	-0.68	0.00588017541215548	NS
Glrx3	ENSMUSG00000031068.8	0.67	0.0059199523857427	NS
Gm10717	ENSMUSG00000095891.7	-0.2	0.00599986336568382	NS
Gjb1	ENSMUSG00000047797.14	0.64	0.00599986336568382	NS
Dtx3	ENSMUSG00000040415.15	-1.92	0.00601457579377523	Downregulated
Ano9	ENSMUSG00000054662.8	-0.66	0.00601501934058591	NS
Fam162a	ENSMUSG00000003955.8	0.64	0.00601501934058591	NS
Cd24a	ENSMUSG00000047139.9	0.63	0.00603810486942458	NS
Serpina1b	ENSMUSG00000071178.11	-1.89	0.0060434426871219	Downregulated
Zfhx4	ENSMUSG00000025255.18	-6.07	0.00609187923348031	Downregulated
Tmod2	ENSMUSG00000032186.15	-5.95	0.00609187923348031	Downregulated
Copa	ENSMUSG00000026553.17	0.65	0.00622234276765895	NS
Ttll3	ENSMUSG00000030276.19	-1.72	0.0062316629727712	Downregulated
Nudt14	ENSMUSG00000002804.4	0.7	0.00646010747750448	NS
Naxe	ENSMUSG00000028070.7	0.62	0.00652826862914813	NS
Wscd2	ENSMUSG00000063430.9	-5.71	0.00652826862914813	Downregulated
Unc50	ENSMUSG00000026111.15	0.61	0.00652948497450687	NS
Trim9	ENSMUSG00000021071.16	-5.8	0.00672645432238772	Downregulated
Cntnap3	ENSMUSG00000033063.8	1.9	0.00683615918367957	Upregulated
Svbp	ENSMUSG00000028643.11	0.86	0.00686811923051251	NS
Fut2	ENSMUSG00000055978.5	1.18	0.00686811923051251	Upregulated
Raet1e	ENSMUSG00000053219.15	2.1	0.00686811923051251	Upregulated
Dusp6	ENSMUSG00000019960.8	0.81	0.00686811923051251	NS
Ormdl2	ENSMUSG00000025353.5	0.69	0.00686811923051251	NS
AW209491	ENSMUSG00000039182.6	1	0.00686811923051251	Upregulated
Uchl3	ENSMUSG00000022111.9	0.66	0.00686811923051251	NS
Vmn1r229	ENSMUSG00000117148.1	-5.83	0.00686811923051251	Downregulated
Adamts19	ENSMUSG00000053441.5	-5.95	0.00686811923051251	Downregulated
Rap1b	ENSMUSG00000052681.8	0.76	0.00696828856778645	NS
Pgr	ENSMUSG00000031870.16	-0.3	0.0071433429512516	NS
Thsd7b	ENSMUSG00000042581.14	-6.07	0.00745370551803184	Downregulated
Prelid3b	ENSMUSG00000016257.15	0.68	0.00746075402132411	NS
Mcub	ENSMUSG00000027994.14	1.32	0.00757007988738485	Upregulated
Nos1	ENSMUSG00000029361.18	-5.73	0.00762395266391853	Downregulated
Grip2	ENSMUSG00000030098.15	-2.55	0.00763517645006786	Downregulated
Opcml	ENSMUSG00000062257.13	-5.99	0.00763517645006786	Downregulated
5330417C22Rik	ENSMUSG00000040412.16	-0.64	0.00771650563749137	NS
Psmd13	ENSMUSG00000025487.15	0.62	0.00771650563749137	NS
Slc13a2os	ENSMUSG00000085747.1	-2.21	0.00771710164862505	Downregulated
Sfi1	ENSMUSG00000023764.18	-1.07	0.0077232374545626	Downregulated
Lin28b	ENSMUSG00000063804.8	-5.68	0.00787826361087988	Downregulated
Pzp	ENSMUSG00000030359.14	-5.7	0.00788402626276505	Downregulated
Adh4	ENSMUSG00000037797.14	-1.07	0.00795103387404256	Downregulated
Snrnp25	ENSMUSG00000040767.10	0.91	0.00795103387404256	NS
Kifc2	ENSMUSG00000004187.11	-1.27	0.00795103387404256	Downregulated
Chgb	ENSMUSG00000027350.8	-0.68	0.00804496994290711	NS
Gm43745	ENSMUSG00000105456.1	-1.6	0.00804496994290711	Downregulated
Malsu1	ENSMUSG00000029815.12	0.72	0.00804496994290711	NS
Cd9	ENSMUSG00000030342.8	0.79	0.00804496994290711	NS
Ntrk3	ENSMUSG00000059146.12	-2.81	0.00804496994290711	Downregulated
Rac3	ENSMUSG00000018012.11	1.76	0.00804496994290711	Upregulated
Wdr61	ENSMUSG00000061559.15	0.68	0.00804552673596636	NS
Hpdl	ENSMUSG00000043155.4	1.09	0.00808824965852747	Upregulated
Vmn2r8	ENSMUSG00000090961.2	-0.34	0.00808824965852747	NS
Lama2	ENSMUSG00000019899.16	-4.16	0.00808824965852747	Downregulated
Efcab5	ENSMUSG00000050944.14	-2.3	0.00808824965852747	Downregulated
AC132133.2	ENSMUSG00000117426.1	0.25	0.00808824965852747	NS
Lamtor1	ENSMUSG00000030842.12	0.62	0.00814888460816368	NS
Cnih4	ENSMUSG00000062169.13	0.66	0.00817522200195087	NS
Thsd7a	ENSMUSG00000032625.14	-3	0.00817522200195087	Downregulated
Bola3	ENSMUSG00000045160.14	0.64	0.00817522200195087	NS
Vwf	ENSMUSG00000001930.17	-2.42	0.00817522200195087	Downregulated
Dars	ENSMUSG00000026356.15	0.63	0.00820799429496255	NS
Gm42611	ENSMUSG00000105643.1	-3.47	0.00824716015018855	Downregulated
Sdcbp	ENSMUSG00000028249.15	0.55	0.0083755790065701	NS
Erbb4	ENSMUSG00000062209.15	-4.11	0.00842323556790897	Downregulated
Lamb3	ENSMUSG00000026639.18	-0.94	0.00842323556790897	NS
Chd6	ENSMUSG00000057133.14	-0.99	0.00842323556790897	NS
Setd1b	ENSMUSG00000038384.16	-0.82	0.00842323556790897	NS
Plekhm3	ENSMUSG00000051344.13	-1.12	0.00866396813757947	Downregulated
Mtx3	ENSMUSG00000021704.8	-1.13	0.00872764703227738	Downregulated
Myl7	ENSMUSG00000020469.8	0.96	0.00879112995940846	NS
Crb2	ENSMUSG00000035403.10	-4.24	0.0089708150203935	Downregulated
Nfat5	ENSMUSG00000003847.16	-0.94	0.00901777912157959	NS
Mafg	ENSMUSG00000051510.13	-0.93	0.00901777912157959	NS
Arhgap4	ENSMUSG00000031389.17	-1.46	0.00901777912157959	Downregulated
Dynll1	ENSMUSG00000009013.5	0.8	0.00902540625807625	NS
Tm4sf4	ENSMUSG00000027801.7	0.71	0.00904835083331547	NS
Cul2	ENSMUSG00000024231.15	0.69	0.00904835083331547	NS
Dpp6	ENSMUSG00000061576.15	-5.62	0.00921273008819913	Downregulated
Mrpl58	ENSMUSG00000018858.15	0.65	0.00921273008819913	NS
Sccpdh	ENSMUSG00000038936.13	0.84	0.00922412083513273	NS
Gprc5a	ENSMUSG00000046733.7	1.06	0.00924321515063831	Upregulated
Srsf5	ENSMUSG00000021134.17	-0.75	0.00924321515063831	NS
Gm10801	ENSMUSG00000075015.3	-0.2	0.009278375670871	NS
Cntn4	ENSMUSG00000064293.14	-5.49	0.00933870853925653	Downregulated
Slc5a8	ENSMUSG00000020062.7	0.68	0.00940889387665739	NS
Mroh2a	ENSMUSG00000079429.9	-1.02	0.00950199609197951	Downregulated
Pigx	ENSMUSG00000023791.16	0.81	0.00950199609197951	NS
Atat1	ENSMUSG00000024426.17	-0.99	0.00950199609197951	NS
Cyp2c55	ENSMUSG00000025002.5	-1.1	0.00950199609197951	Downregulated
Car13	ENSMUSG00000027555.8	0.6	0.00954235059637994	NS
Gm46123	ENSMUSG00000111443.1	-0.39	0.00954235059637994	NS
Grpel1	ENSMUSG00000029198.3	0.61	0.00970843258608093	NS
Cdhr1	ENSMUSG00000021803.10	-0.21	0.00970843258608093	NS
Ryr3	ENSMUSG00000057378.15	-3.2	0.00984082221416263	Downregulated
1110008P14Rik	ENSMUSG00000039195.4	0.81	0.0099274541009625	NS
Vmn1r46	ENSMUSG00000061653.4	-5.47	0.0099274541009625	Downregulated
Twf2	ENSMUSG00000023277.13	0.77	0.0100098139089887	NS
Nav2	ENSMUSG00000052512.17	-0.82	0.0100294166810116	NS
Usp29	ENSMUSG00000051527.11	-5.28	0.0100719858414763	Downregulated
Sema4g	ENSMUSG00000025207.16	-0.68	0.0100719858414763	NS
Rnf2	ENSMUSG00000026484.13	0.76	0.0101478801168291	NS
Slc24a2	ENSMUSG00000037996.17	-5.71	0.010206187528709	Downregulated
Lama1	ENSMUSG00000032796.8	-5.55	0.0102172888218056	Downregulated
Phactr1	ENSMUSG00000054728.16	-3.52	0.0102849910987459	Downregulated
Psmd14	ENSMUSG00000026914.15	0.64	0.0103920000745951	NS
