seqnames	start	end	width	strand	peakID	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	SYMBOL
chr11	98740648	98741109	462	*	peak_511	Promoter	11	98740801	98753638	12838	1	Thra
chr7	19621621	19623356	1736	*	peak_2437	5' UTR	7	19617837	19628434	10598	2	Relb
chr10	7681621	7681968	348	*	peak_206	Promoter	10	7681214	7716460	35247	1	Lats1
chr3	67867388	67867751	364	*	peak_1757	Distal Intergenic	3	67892220	68056593	164374	1	Iqcj
chr16	38334494	38334846	353	*	peak_1130	Intron	16	38322181	38341812	19632	2	Maats1
chr10	24635510	24635713	204	*	peak_228	Downstream	10	24668486	24674258	5773	2	Enpp1
chr4	58065035	58065604	570	*	peak_1901	Intron	4	57984027	58009124	25098	2	Txndc8
chr2	119898401	119898620	220	*	peak_1643	Promoter	2	119897305	119960794	63490	1	Mga
chr7	75384662	75385152	491	*	peak_2488	Distal Intergenic	7	75455534	75754609	299076	1	Akap13
chr14	99605397	99605855	459	*	peak_936	Distal Intergenic	14	99874488	99900391	25904	2	Klf12
chr13	55376388	55376863	476	*	peak_759	Promoter	13	55379169	55384686	5518	1	Rgs14
chr3	101667292	101667719	428	*	peak_1798	Distal Intergenic	3	101576219	101604684	28466	2	Atp1a1
chr1	134344707	134345472	766	*	peak_114	Downstream	1	134347910	134350305	2396	2	Tmem183a
chr13	119492091	119492323	233	*	peak_825	Intron	13	119488860	119610458	121599	1	Tmem267
chr10	68345384	68345857	474	*	peak_269	Distal Intergenic	10	68319071	68321142	2072	2	4930545H06Rik
chr7	144786688	144786946	259	*	peak_2596	Distal Intergenic	7	144650503	144751974	101472	2	Ano1
chr12	118367329	118367587	259	*	peak_684	Distal Intergenic	12	118261792	118301440	39649	2	Sp4
chr11	106486344	106487043	700	*	peak_533	Promoter	11	106394650	106487796	93147	2	Ern1
chr1	136172766	136173259	494	*	peak_127	Exon	1	136169314	136172299	2986	1	Kif21b
chr4	7144224	7144567	344	*	peak_1861	Distal Intergenic	4	6740230	6991557	251328	2	Tox
chr16	29800004	29800734	731	*	peak_1110	Distal Intergenic	16	29958493	29962307	3815	2	Gm1968
chr17	31319080	31319829	750	*	peak_1229	Promoter	17	31319176	31341354	22179	1	Slc37a1
chr15	56774425	56775120	696	*	peak_984	Intron	15	56665627	56694539	28913	2	Has2
chr5	118459483	118459812	330	*	peak_2192	Distal Intergenic	5	118560679	118720114	159436	1	Med13l
chr5	17601776	17602025	250	*	peak_2060	Intron	5	17574899	17675069	100171	1	Sema3c
chr4	141286931	141287927	997	*	peak_2020	Distal Intergenic	4	141278439	141279794	1356	1	Gm13056
chr6	134034971	134035747	777	*	peak_2399	Promoter	6	134035700	134270155	234456	1	Etv6
chrY	90739882	90740251	370	*	peak_2963	Distal Intergenic	21	90752427	90755467	3041	2	G530011O06Rik
chr7	29251191	29251421	231	*	peak_2457	Distal Intergenic	7	29246561	29248466	1906	2	2200002D01Rik
chr16	4556831	4557279	449	*	peak_1077	Promoter	16	4547298	4558783	11486	2	Tfap4
chr10	117792122	117792391	270	*	peak_344	Promoter	10	117777128	117792651	15524	2	Nup107
chr2	103797221	103797751	531	*	peak_1630	Promoter	2	103762941	103797649	34709	2	Caprin1
chr9	40414150	40414630	481	*	peak_2801	Intron	9	40297834	40401869	104036	2	Gramd1b
chr9	123935480	123937220	1741	*	peak_2937	Distal Intergenic	9	123962124	123968692	6569	2	Ccr1
chr8	34513380	34513967	588	*	peak_2638	Distal Intergenic	8	34589420	34640316	50897	2	B930018H19Rik
chr19	53511608	53511881	274	*	peak_1492	Distal Intergenic	19	53529109	53542431	13323	1	Dusp5
chr4	134930940	134931328	389	*	peak_1995	Promoter	4	134931010	134936078	5069	1	Syf2
chr7	5014861	5015091	231	*	peak_2431	Promoter	7	5007059	5014697	7639	2	Fiz1
chr8	120728428	120728844	417	*	peak_2739	Intron	8	120736358	120755404	19047	1	Irf8
chr2	115875979	115876323	345	*	peak_1637	Intron	2	115864870	115872962	8093	2	Meis2
chr7	19836701	19837207	507	*	peak_2439	Distal Intergenic	7	19808462	19822770	14309	2	Bcl3
chr8	108672032	108672719	688	*	peak_2712	Intron	8	108703100	108800270	97171	1	Zfhx3
chr18	64618190	64618527	338	*	peak_1380	Intron	18	64577466	64660807	83342	2	Atp8b1
chr19	36371358	36371904	547	*	peak_1457	Intron	19	36379068	36456204	77137	1	Pcgf5
chr8	66550208	66550413	206	*	peak_2662	Distal Intergenic	8	66511759	66518335	6577	1	Tktl2
chr14	54227380	54227625	246	*	peak_871	Distal Intergenic	14	54239661	54253914	14254	2	Dad1
chr19	4811808	4812127	320	*	peak_1414	Promoter	19	4800569	4811634	11066	2	Rbm14
chr11	52282344	52284890	2547	*	peak_420	Promoter	11	52252371	52282571	30201	2	Tcf7
chr9	123930015	123931289	1275	*	peak_2935	Distal Intergenic	9	123962124	123968692	6569	2	Ccr1
chr8	11549741	11550407	667	*	peak_2612	Promoter	8	11529612	11550391	20780	2	Cars2
chr17	34861129	34862489	1361	*	peak_1235	Promoter	17	34856379	34862173	5795	2	Cfb
chr16	52119250	52119658	409	*	peak_1145	Intron	16	52152526	52156661	4136	1	Cblb
chr6	42671755	42672121	367	*	peak_2293	3' UTR	6	42676695	42693003	16309	2	Tcaf1
chr18	70437586	70438009	424	*	peak_1387	Distal Intergenic	18	70452212	70464150	11939	2	4930503L19Rik
chr1	9780318	9780582	265	*	peak_8	Exon	1	9798107	9900843	102737	1	Sgk3
chr18	16038191	16038790	600	*	peak_1310	Distal Intergenic	18	15451924	15760157	308234	2	Chst9
chr1	178600062	178601059	998	*	peak_180	Intron	1	178529125	178939200	410076	1	Kif26b
chr16	27387974	27388291	318	*	peak_1109	Promoter	16	27388869	27452218	63350	1	Ccdc50
chr9	106367989	106368212	224	*	peak_2897	Promoter	9	106368632	106375724	7093	1	Dusp7
chr6	88901180	88902456	1277	*	peak_2346	Promoter	6	88902251	88912231	9981	1	Tpra1
chr19	55350679	55350978	300	*	peak_1495	Intron	19	55381014	55446979	65966	1	Vti1a
chr11	82915032	82915551	520	*	peak_467	Exon	11	82911253	82943403	32151	1	Unc45b
chr4	124217304	124217803	500	*	peak_1973	Distal Intergenic	4	124450235	124451285	1051	2	1700057H15Rik
chr3	28229893	28230111	219	*	peak_1733	Distal Intergenic	3	28263214	28670585	407372	1	Tnik
chr11	113638761	113639175	415	*	peak_565	Intron	11	113649169	113662947	13779	1	Cog1
chr13	97977007	97977538	532	*	peak_791	Intron	13	97942202	97946927	4726	2	Arhgef28
chr11	98445970	98446792	823	*	peak_508	Promoter	11	98446394	98451417	5024	1	Grb7
chr5	29211817	29212444	628	*	peak_2069	Intron	5	29198671	29225301	26631	1	Rnf32
chr17	70834307	70834921	615	*	peak_1271	Exon	17	70844869	70846326	1458	2	Tgif1
chr8	21756851	21757187	337	*	peak_2617	Distal Intergenic	8	21776599	21795185	18587	1	Defb1
chr9	51312307	51312706	400	*	peak_2822	Promoter	9	51289686	51312715	23030	2	1810046K07Rik
chr7	110094268	110094665	398	*	peak_2524	3' UTR	7	110091629	110094444	2816	1	Zfp143
chr4	116993758	116994539	782	*	peak_1964	Promoter	4	116989965	116994413	4449	2	Urod
chr11	101783922	101784325	404	*	peak_527	Promoter	11	101774168	101784388	10221	2	Etv4
chr7	81560670	81560983	314	*	peak_2500	Intron	7	81533308	81566944	33637	2	Fsd2
chr3	30507393	30507713	321	*	peak_1736	Promoter	3	30236569	30509487	272919	2	Mecom
chr7	125492354	125492585	232	*	peak_2556	Promoter	7	125467640	125491596	23957	2	Nsmce1
chr1	74434667	74434937	271	*	peak_54	Exon	1	74423686	74425966	2281	1	Vil1
chr7	126649116	126649364	249	*	peak_2558	Promoter	7	126649309	126664004	14696	1	Sgf29
chr6	127571978	127572571	594	*	peak_2395	Intron	6	127577897	127630033	52137	1	Cracr2a
chr6	94230395	94231750	1356	*	peak_2352	Intron	6	94132923	94283025	150103	2	4930511A08Rik
chr15	61446466	61446722	257	*	peak_991	Distal Intergenic	15	61534676	61745184	210509	2	D030024E09Rik
chr15	7015061	7015479	419	*	peak_958	Distal Intergenic	15	7090614	7164566	73953	1	Lifr
chr1	52251303	52251992	690	*	peak_32	Distal Intergenic	1	52184104	52233232	49129	2	Gls
chr18	40199880	40200208	329	*	peak_1348	Distal Intergenic	18	40212044	40219338	7295	2	Yipf5
chr2	128817632	128818021	390	*	peak_1649	Promoter	2	128818118	128854261	36144	1	Tmem87b
chr16	92953303	92953774	472	*	peak_1172	Distal Intergenic	16	92601466	92826149	224684	2	Runx1
chr15	98610030	98610503	474	*	peak_1054	Promoter	15	98604150	98610076	5927	2	Adcy6
chr8	88521483	88521719	237	*	peak_2695	Promoter	8	88521354	88593618	72265	1	Nkd1
chr2	59681542	59681855	314	*	peak_1574	Intron	2	59706844	59724847	18004	1	Tanc1
chr6	131354921	131355146	226	*	peak_2398	Promoter	6	131311192	131353597	42406	2	Styk1
chr5	33105065	33105284	220	*	peak_2081	Promoter	5	33104219	33162870	58652	1	Slc5a1
chr8	127183966	127184439	474	*	peak_2765	Intron	8	127171404	127277043	105640	1	Pard3
chr1	130737390	130738477	1088	*	peak_100	Promoter	1	130740272	130744621	4350	1	AA986860
chr1	135281282	135281822	541	*	peak_121	Promoter	1	135277349	135279112	1764	2	Rnpep
chr19	43697726	43697948	223	*	peak_1473	Intron	19	43689840	43722574	32735	1	Entpd7
chr1	82124561	82125411	851	*	peak_64	Distal Intergenic	1	82131916	82132019	104	1	Mir6344
chrX	134127228	134127596	369	*	peak_2950	Intron	20	134107733	134137711	29979	2	Nox1
chr13	75199516	75199814	299	*	peak_779	Exon	13	75110818	75126041	15224	1	Pcsk1
chr19	7246071	7246279	209	*	peak_1425	Distal Intergenic	19	7225673	7241183	15511	2	Naa40
chr17	27829541	27829741	201	*	peak_1220	Distal Intergenic	17	27838150	27851968	13819	1	Snrpc
