Geneid	ENSEMBL	log2FoldChange	padj	DEG
Ccr9	ENSMUSG00000029530.16	2.49	3.95119865541572e-10	Upregulated
Tcrg-V7	ENSMUSG00000076744.2	3.21	3.9912156429266e-10	Upregulated
Slc13a2	ENSMUSG00000001095.5	1.52	4.51497151034143e-10	Upregulated
Coro1a	ENSMUSG00000030707.15	1.81	6.47081228782977e-10	Upregulated
Slc25a4	ENSMUSG00000031633.4	1.53	6.68502926715369e-10	Upregulated
Cnn2	ENSMUSG00000004665.10	1.87	6.68502926715369e-10	Upregulated
Klhdc4	ENSMUSG00000040263.16	-1.71	7.15487082076812e-10	Downregulated
Cd74	ENSMUSG00000024610.15	1.41	1.27820109725662e-09	Upregulated
H2-Q7	ENSMUSG00000060550.16	2.05	1.28216103780853e-09	Upregulated
Enpp2	ENSMUSG00000022425.16	3.07	1.47113085370526e-09	Upregulated
Clec2h	ENSMUSG00000030364.6	1.27	2.21068578053278e-09	Upregulated
Lum	ENSMUSG00000036446.5	3.06	2.67951688601862e-09	Upregulated
Trdc	ENSMUSG00000104876.1	2.37	3.1316467132161e-09	Upregulated
Mlxipl	ENSMUSG00000005373.13	-1.3	3.95169382168783e-09	Downregulated
Clic6	ENSMUSG00000022949.9	-1.54	4.0126572402819e-09	Downregulated
Slc6a19	ENSMUSG00000021565.16	1.57	1.18719423680919e-08	Upregulated
Nt5e	ENSMUSG00000032420.8	1.37	1.19845787390666e-08	Upregulated
Rdh16	ENSMUSG00000069456.4	2.19	1.28355804825093e-08	Upregulated
Gm42047	ENSMUSG00000110631.1	-10.04	2.16303257588159e-08	Downregulated
Gm14165	ENSMUSG00000081434.3	2.11	2.21098045178558e-08	Upregulated
Cd200r4	ENSMUSG00000062082.16	2.56	2.74316183155597e-08	Upregulated
P2rx7	ENSMUSG00000029468.17	2.22	2.77853478184708e-08	Upregulated
Vsir	ENSMUSG00000020101.14	2.43	3.06903630365688e-08	Upregulated
Cd160	ENSMUSG00000038304.14	2.41	4.22867389379875e-08	Upregulated
Sash3	ENSMUSG00000031101.6	2.3	4.66154865935459e-08	Upregulated
Susd3	ENSMUSG00000021384.14	2.44	5.91272705194244e-08	Upregulated
Zbp1	ENSMUSG00000027514.14	1.52	7.14678673369435e-08	Upregulated
Trerf1	ENSMUSG00000064043.13	2.37	7.18100996613434e-08	Upregulated
Zfp771	ENSMUSG00000054716.4	-1.99	7.54195477013232e-08	Downregulated
Gstm3	ENSMUSG00000004038.9	-1.45	8.66852954544627e-08	Downregulated
Rhoh	ENSMUSG00000029204.7	2.1	9.3710971874721e-08	Upregulated
Ms4a4b	ENSMUSG00000056290.16	2.95	9.70675945137653e-08	Upregulated
Ubd	ENSMUSG00000035186.6	2.35	9.71614251481414e-08	Upregulated
Muc4	ENSMUSG00000079620.13	-1.21	1.15023826414851e-07	Downregulated
Cxcr6	ENSMUSG00000048521.8	2.69	1.27315241759072e-07	Upregulated
Laptm5	ENSMUSG00000028581.17	2.12	1.29029424195335e-07	Upregulated
Pyroxd2	ENSMUSG00000060224.4	1.43	1.37404650605651e-07	Upregulated
Dnase1	ENSMUSG00000005980.15	1.32	1.63302765543922e-07	Upregulated
Gm43305	ENSMUSG00000105703.2	-1.38	1.70813249922669e-07	Downregulated
Lcp2	ENSMUSG00000002699.13	2.57	1.98923415338478e-07	Upregulated
Rinl	ENSMUSG00000051735.7	2.13	2.11048906195683e-07	Upregulated
Cybrd1	ENSMUSG00000027015.4	2.33	2.17333628823921e-07	Upregulated
Pf4	ENSMUSG00000029373.7	3.06	2.17333628823921e-07	Upregulated
Oasl1	ENSMUSG00000041827.15	1.37	2.34805041274783e-07	Upregulated
G0s2	ENSMUSG00000009633.3	3.33	2.47749256100538e-07	Upregulated
Hsd17b13	ENSMUSG00000034528.15	1.37	2.57501820094319e-07	Upregulated
Tinagl1	ENSMUSG00000028776.14	1.39	3.80283717289342e-07	Upregulated
Fstl1	ENSMUSG00000022816.11	1.76	5.46459091557238e-07	Upregulated
Slc38a1	ENSMUSG00000023169.15	-1.16	5.60968031527011e-07	Downregulated
1810041H14Rik	ENSMUSG00000102112.1	2.64	5.61485842886728e-07	Upregulated
H2-Q6	ENSMUSG00000073409.12	2.01	5.8066662568845e-07	Upregulated
Hbb-bt	ENSMUSG00000073940.3	4.28	5.83842518069373e-07	Upregulated
Sla2	ENSMUSG00000027636.11	2.55	6.02929044245089e-07	Upregulated
Mxd1	ENSMUSG00000001156.9	1.31	6.02929044245089e-07	Upregulated
Gm44223	ENSMUSG00000107992.1	-2.14	6.02929044245089e-07	Downregulated
Wfdc17	ENSMUSG00000069792.5	2.89	6.02929044245089e-07	Upregulated
Gm25835	ENSMUSG00000089542.1	2.66	6.13185757142006e-07	Upregulated
Psmb8	ENSMUSG00000024338.15	1.02	6.46647579165683e-07	Upregulated
Hbb-bs	ENSMUSG00000052305.6	3.7	6.54235042818958e-07	Upregulated
Ly6d	ENSMUSG00000034634.7	1.64	6.71741295246814e-07	Upregulated
Ifi47	ENSMUSG00000078920.3	1.11	7.22394932819768e-07	Upregulated
Gpr68	ENSMUSG00000047415.12	2.41	7.69330577535324e-07	Upregulated
Mrps30	ENSMUSG00000021731.10	-1.52	7.81757830031522e-07	Downregulated
Apol7e	ENSMUSG00000071716.5	2.69	8.11231093407514e-07	Upregulated
Selplg	ENSMUSG00000048163.13	2.21	1.28357291897058e-06	Upregulated
Nr1d1	ENSMUSG00000020889.11	2.29	1.28357291897058e-06	Upregulated
Slfn2	ENSMUSG00000072620.3	1.52	1.63551751892924e-06	Upregulated
Gbp2	ENSMUSG00000028270.12	2.99	1.79442267972775e-06	Upregulated
Apoa2	ENSMUSG00000005681.12	5.23	1.83413950650706e-06	Upregulated
Trac	ENSMUSG00000076928.5	2.81	2.01235960713257e-06	Upregulated
Ccl4	ENSMUSG00000018930.3	2.34	2.10872162168515e-06	Upregulated
Gm10704	ENSMUSG00000074479.3	3.27	2.15395854078942e-06	Upregulated
Gm22154	ENSMUSG00000065778.1	2.28	2.23727079728305e-06	Upregulated
C1qa	ENSMUSG00000036887.5	2.43	2.23727079728305e-06	Upregulated
Cox15	ENSMUSG00000040018.9	-1.1	2.36585215422687e-06	Downregulated
Traf1	ENSMUSG00000026875.14	2.48	2.47504706090927e-06	Upregulated
Hjurp	ENSMUSG00000044783.16	-0.97	2.64578188972053e-06	NS
Ikzf1	ENSMUSG00000018654.17	2.29	2.83170075343573e-06	Upregulated
Pmm1	ENSMUSG00000022474.15	1.27	2.96314103188185e-06	Upregulated
Slc6a14	ENSMUSG00000031089.7	4.93	2.96314103188185e-06	Upregulated
Padi2	ENSMUSG00000028927.6	2.55	3.16498829493347e-06	Upregulated
Leap2	ENSMUSG00000036216.5	1.53	3.18069758071352e-06	Upregulated
5330417C22Rik	ENSMUSG00000040412.16	-1	3.62184654444143e-06	Downregulated
Iglc1	ENSMUSG00000105906.1	1.93	3.86163978611702e-06	Upregulated
Gpnmb	ENSMUSG00000029816.10	2.54	4.16532981600579e-06	Upregulated
Spn	ENSMUSG00000051457.7	2.61	4.32309586845806e-06	Upregulated
Ppp1r18	ENSMUSG00000034595.17	2.07	5.24604698050743e-06	Upregulated
Gchfr	ENSMUSG00000046814.3	1.09	5.31239204422846e-06	Upregulated
Snord118	ENSMUSG00000064899.1	1.71	5.35299057131017e-06	Upregulated
Tmem9	ENSMUSG00000026411.17	1.24	5.47889952687205e-06	Upregulated
Lpxn	ENSMUSG00000024696.9	2	5.47889952687205e-06	Upregulated
Tmprss15	ENSMUSG00000022857.13	2.33	5.53822366652898e-06	Upregulated
Ets1	ENSMUSG00000032035.15	1.65	5.79109765778945e-06	Upregulated
Bhlhe40	ENSMUSG00000030103.11	-1.02	5.93452875417858e-06	Downregulated
Il2rg	ENSMUSG00000031304.18	2.25	6.25002991844082e-06	Upregulated
Stom	ENSMUSG00000026880.11	1.07	6.64106377478469e-06	Upregulated
Gm24616	ENSMUSG00000065208.1	2.3	7.34871813942992e-06	Upregulated
S100a6	ENSMUSG00000001025.8	1.32	7.40711620369962e-06	Upregulated
Hsd17b11	ENSMUSG00000029311.16	1.17	7.40711620369962e-06	Upregulated
Emp3	ENSMUSG00000040212.12	1.58	7.40711620369962e-06	Upregulated
Afp	ENSMUSG00000054932.6	-1.61	7.47438422863524e-06	Downregulated
Igkv6-23	ENSMUSG00000095630.2	3.61	7.61492040387549e-06	Upregulated
Capg	ENSMUSG00000056737.14	1.25	8.04137720741215e-06	Upregulated
Sla	ENSMUSG00000022372.14	2.3	8.07252852167724e-06	Upregulated
Gm8989	ENSMUSG00000095457.3	-2.14	8.18021103434329e-06	Downregulated
Snora23	ENSMUSG00000064451.1	2.6	8.33279862185995e-06	Upregulated
Slc16a12	ENSMUSG00000009378.4	-2.48	9.00750057648117e-06	Downregulated
Ces1d	ENSMUSG00000056973.6	-1.19	1.24693351938572e-05	Downregulated
Slc5a12	ENSMUSG00000041644.14	1.57	1.27786583324228e-05	Upregulated
Mmp2	ENSMUSG00000031740.8	2.68	1.35212544460701e-05	Upregulated
Lsp1	ENSMUSG00000018819.10	1.65	1.42124261869618e-05	Upregulated
Arhgap45	ENSMUSG00000035697.14	1.75	1.42515473577246e-05	Upregulated
Trim59	ENSMUSG00000034317.14	-1.5	1.44660045093453e-05	Downregulated
Rab11fip5	ENSMUSG00000051343.11	2.65	1.45259381223409e-05	Upregulated
Hba-a2	ENSMUSG00000069917.7	4.19	1.57740782032568e-05	Upregulated
Prf1	ENSMUSG00000037202.6	2.97	1.66434401979265e-05	Upregulated
Cyp2d10	ENSMUSG00000094806.2	4.58	1.68038847322761e-05	Upregulated
2010001M07Rik	ENSMUSG00000111296.1	1.91	1.71191391681523e-05	Upregulated
Icam1	ENSMUSG00000037405.8	1.85	1.71543637365344e-05	Upregulated
Glp1r	ENSMUSG00000024027.8	2.49	1.71543637365344e-05	Upregulated
Cd53	ENSMUSG00000040747.9	1.64	1.8510479814943e-05	Upregulated
Txk	ENSMUSG00000054892.14	2.25	1.88884227749483e-05	Upregulated
Prkch	ENSMUSG00000021108.18	2.38	1.92720060451942e-05	Upregulated
Rbm45	ENSMUSG00000042369.8	1.61	1.95931067719871e-05	Upregulated
Ptpn22	ENSMUSG00000027843.13	1.83	2.02055647963961e-05	Upregulated
Il21r	ENSMUSG00000030745.9	1.99	2.02055647963961e-05	Upregulated
Sh2d2a	ENSMUSG00000028071.12	2.31	2.15046029149223e-05	Upregulated
Ifit1bl1	ENSMUSG00000079339.7	1.22	2.15046029149223e-05	Upregulated
Fmr1nb	ENSMUSG00000062170.12	3.45	2.23134063718349e-05	Upregulated
Dclk3	ENSMUSG00000032500.10	-2.82	2.32521535779612e-05	Downregulated
1700097N02Rik	ENSMUSG00000099474.1	1.49	2.35838617769325e-05	Upregulated
Adam19	ENSMUSG00000011256.16	2.2	2.42139835550686e-05	Upregulated
Stk10	ENSMUSG00000020272.8	1.48	2.46597145806534e-05	Upregulated
Saa1	ENSMUSG00000074115.5	3.31	2.50869291140446e-05	Upregulated
Hba-a1	ENSMUSG00000069919.7	3.71	2.60763806762813e-05	Upregulated
Gm15564	ENSMUSG00000086324.8	1.01	2.60763806762813e-05	Upregulated
Cst7	ENSMUSG00000068129.5	2.58	2.75074913956952e-05	Upregulated
Mki67	ENSMUSG00000031004.8	-1.16	2.75074913956952e-05	Downregulated
Klrd1	ENSMUSG00000030165.16	1.77	2.87950813717712e-05	Upregulated
Cftr	ENSMUSG00000041301.15	-0.95	3.04041129844428e-05	NS
Snord13	ENSMUSG00000088252.1	1.64	3.21434742328354e-05	Upregulated
Cd5	ENSMUSG00000024669.8	2.83	3.21434742328354e-05	Upregulated
Thy1	ENSMUSG00000032011.5	2.56	3.29333319410774e-05	Upregulated
Itk	ENSMUSG00000020395.13	2.56	3.29333319410774e-05	Upregulated
Cd200r2	ENSMUSG00000090176.1	2.3	3.38980162041884e-05	Upregulated
Retnlb	ENSMUSG00000022650.7	4.98	3.48248146871321e-05	Upregulated
Fli1	ENSMUSG00000016087.13	2.18	3.65067973975776e-05	Upregulated
Timp2	ENSMUSG00000017466.9	2.45	3.91552721534929e-05	Upregulated
Glud1	ENSMUSG00000021794.16	-1.52	4.16559518549279e-05	Downregulated
Klf10	ENSMUSG00000037465.10	-1.07	4.38385448781505e-05	Downregulated
Leng8	ENSMUSG00000035545.13	-0.98	4.54804205459657e-05	NS
Trim15	ENSMUSG00000050747.14	1.16	4.83426530654163e-05	Upregulated
mt-Tm	ENSMUSG00000064344.1	1.64	5.4905231647326e-05	Upregulated
Pltp	ENSMUSG00000017754.13	1.89	5.51084712457072e-05	Upregulated
Il2rb	ENSMUSG00000068227.9	2.11	5.51084712457072e-05	Upregulated
Ciita	ENSMUSG00000022504.10	1.31	5.62968019740214e-05	Upregulated
Rif1	ENSMUSG00000036202.16	-1.22	5.68376715049147e-05	Downregulated
C1qb	ENSMUSG00000036905.8	2	5.74131404194413e-05	Upregulated
Emb	ENSMUSG00000021728.8	1.93	5.91532284387244e-05	Upregulated
Plk1	ENSMUSG00000030867.7	-0.95	6.10452884223938e-05	NS
Slc28a2	ENSMUSG00000027219.13	1.05	6.21961788843385e-05	Upregulated
Apoc3	ENSMUSG00000032081.10	0.88	6.23565193777274e-05	NS
Myo1g	ENSMUSG00000020437.12	1.94	6.57458802183885e-05	Upregulated
Igkv6-15	ENSMUSG00000094797.1	3	6.92043672588964e-05	Upregulated
Cxcl16	ENSMUSG00000018920.11	1.39	6.92043672588964e-05	Upregulated
Cyth4	ENSMUSG00000018008.8	2.19	7.04218906842079e-05	Upregulated
Muc2	ENSMUSG00000025515.15	-0.87	7.16703166524411e-05	NS
Fcgr3	ENSMUSG00000059498.13	3.04	7.23270729487178e-05	Upregulated
Klf4	ENSMUSG00000003032.8	1.09	7.73166099340896e-05	Upregulated
Il16	ENSMUSG00000001741.12	1.88	7.79568203510112e-05	Upregulated
Gm26225	ENSMUSG00000064442.1	3.06	7.86481710506084e-05	Upregulated
Cyp4f40	ENSMUSG00000090700.2	-0.94	7.98691340545807e-05	NS
S100a9	ENSMUSG00000056071.12	2.12	8.1697551711959e-05	Upregulated
Vopp1	ENSMUSG00000037788.14	-1.21	8.74175727727288e-05	Downregulated
Usf1	ENSMUSG00000026641.13	0.96	8.75029033888454e-05	NS
Nnt	ENSMUSG00000025453.18	-0.97	8.75029033888454e-05	NS
Gm3776	ENSMUSG00000111709.1	-1.75	9.18465335439513e-05	Downregulated
Cd226	ENSMUSG00000034028.16	2.45	9.50626811089447e-05	Upregulated
Klk8	ENSMUSG00000064023.4	2.76	9.82623117678123e-05	Upregulated
Tnfrsf11a	ENSMUSG00000026321.7	-1.3	0.000103375764098368	Downregulated
Ltb	ENSMUSG00000024399.5	1.65	0.000104734263165419	Upregulated
Cyfip2	ENSMUSG00000020340.16	1.74	0.000107246266222158	Upregulated
Fus	ENSMUSG00000030795.18	-0.85	0.000111490567056927	NS
Serpinb6b	ENSMUSG00000042842.11	2.1	0.00011543160148066	Upregulated
Rbm14	ENSMUSG00000006456.10	-0.89	0.00011543160148066	NS
Mpeg1	ENSMUSG00000046805.10	1.69	0.00011543160148066	Upregulated
Chtf18	ENSMUSG00000019214.14	-1.13	0.00011697673103631	Downregulated
Gpr18	ENSMUSG00000050350.8	1.99	0.000120255961407059	Upregulated
Tspan9	ENSMUSG00000030352.14	1.8	0.000128787876032491	Upregulated
Trappc2l	ENSMUSG00000015013.9	0.88	0.000132473026887121	NS
Rhof	ENSMUSG00000029449.11	1.35	0.000137548518164756	Upregulated
Apbb1ip	ENSMUSG00000026786.14	1.92	0.000142448832927186	Upregulated
Ptprr	ENSMUSG00000020151.16	1.26	0.000144700814624185	Upregulated
Psmb9	ENSMUSG00000096727.3	0.84	0.000144700814624185	NS
Unc93a2	ENSMUSG00000056133.5	1.35	0.000146396108862598	Upregulated
Amot	ENSMUSG00000041688.16	-1.09	0.000147934166251744	Downregulated
Gm36738	ENSMUSG00000116097.1	1.37	0.00015156586574983	Upregulated
2010103J01Rik	ENSMUSG00000104368.1	1.73	0.000157149009347011	Upregulated
Snca	ENSMUSG00000025889.13	3.48	0.000158379016830307	Upregulated
Lipt2	ENSMUSG00000030725.4	-1.53	0.000160228412780474	Downregulated
Slc7a15	ENSMUSG00000020600.13	1.21	0.000165828406276607	Upregulated
Brwd1	ENSMUSG00000022914.17	-1.26	0.000170046647663862	Downregulated
Clca3b	ENSMUSG00000037033.9	-0.72	0.000176105702969729	NS
Lmnb1	ENSMUSG00000024590.8	-3.13	0.000176674208895146	Downregulated
Slc15a1	ENSMUSG00000025557.10	0.9	0.000178601874363074	NS
Sectm1b	ENSMUSG00000039364.13	1	0.000183575077773359	Upregulated
Mreg	ENSMUSG00000039395.8	-1.37	0.000187254749522801	Downregulated
Gm44386	ENSMUSG00000107689.1	1.61	0.000187254749522801	Upregulated
Cyp2c68	ENSMUSG00000074882.3	-0.95	0.000187254749522801	NS
Lect2	ENSMUSG00000021539.9	1.59	0.000191030982030037	Upregulated
Spr-ps1	ENSMUSG00000068303.6	2.77	0.000191682085703347	Upregulated
Cela1	ENSMUSG00000023031.8	1.08	0.000191682085703347	Upregulated
Kif11	ENSMUSG00000012443.4	-1.03	0.000191682085703347	Downregulated
Alas2	ENSMUSG00000025270.13	3.02	0.000191682085703347	Upregulated
Rorc	ENSMUSG00000028150.14	-0.91	0.000200039526433992	NS
Prrc2a	ENSMUSG00000024393.14	-0.97	0.000203408901861852	NS
Mcm10	ENSMUSG00000026669.14	-0.93	0.000205741024436419	NS
Ccl8	ENSMUSG00000009185.2	3.25	0.000215008992616569	Upregulated
Sprr2a3	ENSMUSG00000074445.4	1.11	0.000215274510064152	Upregulated
Gnat3	ENSMUSG00000028777.8	2.2	0.000216545935834316	Upregulated
Plut	ENSMUSG00000092570.7	1.29	0.000218320199776968	Upregulated
Dpt	ENSMUSG00000026574.5	2.18	0.000220307138276271	Upregulated
St6galnac6	ENSMUSG00000026811.18	1.58	0.000221565170672209	Upregulated
Tpx2	ENSMUSG00000027469.16	-0.97	0.000227559726756399	NS
Rhod	ENSMUSG00000041845.11	0.94	0.000234080977714514	NS
Gip	ENSMUSG00000014351.12	0.97	0.000234925350685232	NS
Gm10020	ENSMUSG00000057262.2	3.54	0.000247950541870842	Upregulated
AI413582	ENSMUSG00000062753.14	1.11	0.00026677346646276	Upregulated
Skap1	ENSMUSG00000057058.16	1.81	0.000272520269199035	Upregulated
Npm3-ps1	ENSMUSG00000081669.1	2.53	0.000279349223923114	Upregulated
Sfrp2	ENSMUSG00000027996.13	3.01	0.00028159314996429	Upregulated
Lox	ENSMUSG00000024529.14	3.53	0.000286182785819076	Upregulated
Tm4sf1	ENSMUSG00000027800.14	2.14	0.00029371684893021	Upregulated
Tnfrsf9	ENSMUSG00000028965.13	2.58	0.000296274669830013	Upregulated
Rgs14	ENSMUSG00000052087.14	1.58	0.000296274669830013	Upregulated
Cd8b1	ENSMUSG00000053044.8	2.49	0.000323338989036827	Upregulated
Hpn	ENSMUSG00000001249.14	2.49	0.000323338989036827	Upregulated
Slc16a1	ENSMUSG00000032902.1	-1.05	0.000324096747611094	Downregulated
Tubb2a	ENSMUSG00000058672.7	1.04	0.000328308354441942	Upregulated
Apol7a	ENSMUSG00000010601.14	0.86	0.000352248300629082	NS
Cbx5	ENSMUSG00000009575.14	-0.74	0.000369569434389413	NS
Fxyd5	ENSMUSG00000009687.14	2.01	0.000371104743242183	Upregulated
Dock10	ENSMUSG00000038608.15	1.52	0.000375820137371329	Upregulated
Fanca	ENSMUSG00000032815.16	-1.26	0.000402459269030688	Downregulated
Plch2	ENSMUSG00000029055.17	-0.94	0.000410762600498876	NS
Asb2	ENSMUSG00000021200.14	1.64	0.000416008337312103	Upregulated
Lrrc58	ENSMUSG00000034158.9	-0.96	0.000429996646109809	NS
Pla2g5	ENSMUSG00000041193.15	1.58	0.000431230504182204	Upregulated
Slc7a11	ENSMUSG00000027737.10	2.46	0.000448425962176261	Upregulated
0610005C13Rik	ENSMUSG00000109644.1	0.81	0.000454612087008928	NS
Kifc5b	ENSMUSG00000024301.10	-1.85	0.00045989112915104	Downregulated
Cpxm1	ENSMUSG00000027408.7	3.14	0.000466536755501977	Upregulated
Eppk1	ENSMUSG00000115388.2	-0.89	0.000490044444244158	NS
Timp3	ENSMUSG00000020044.13	1.58	0.000498404328800789	Upregulated
Csf1r	ENSMUSG00000024621.16	1.64	0.000505719795217235	Upregulated
Ccne1	ENSMUSG00000002068.16	-1.14	0.000526693793487003	Downregulated
Polr2m	ENSMUSG00000032199.13	-1.26	0.000530075671481433	Downregulated
Gpr171	ENSMUSG00000050075.8	1.84	0.000535554365571893	Upregulated
Srrm2	ENSMUSG00000039218.17	-0.72	0.000539299508926353	NS
Alg10b	ENSMUSG00000075470.2	-1.13	0.000540111624767738	Downregulated
Aldh18a1	ENSMUSG00000025007.13	-0.72	0.000552835348201269	NS
Slc10a5	ENSMUSG00000058921.3	-1.04	0.000556929401971709	Downregulated
Baiap2l2	ENSMUSG00000018126.15	-0.78	0.000556988779923225	NS
Apol9a	ENSMUSG00000057346.12	1.15	0.00056406169026759	Upregulated
Plscr4	ENSMUSG00000032377.8	2.85	0.000570109369479478	Upregulated
Espl1	ENSMUSG00000058290.4	-1.06	0.000591776677321275	Downregulated
Cald1	ENSMUSG00000029761.16	1.56	0.00060689007418681	Upregulated
Ahrr	ENSMUSG00000021575.16	2.14	0.000628435267027476	Upregulated
Aars2	ENSMUSG00000023938.8	-0.99	0.000628435267027476	NS
